country,country_url,season,league_cups,league_cups_url,champion,list_of_promoted,list_of_promoted_url,list_of_relegated,list_of_relegated_url,list_of_top_scorer,list_of_top_scorer_url,number_of_goals,percent_of_foreign_players,goals_per_match,update_date
France,https://www.transfermarkt.com/wettbewerbe/national/wettbewerbe/50/saison_id/2015/plus/1,2015,Ligue 1,https://www.transfermarkt.com/ligue-1/startseite/wettbewerb/FR1/saison_id/2015,Paris Saint-Germain,[],[],"['ESTAC Troyes', 'Stade Reims', 'GFC Ajaccio']","['https://www.transfermarkt.com/es-troyes-ac/startseite/verein/1095/saison_id/2015', 'https://www.transfermarkt.com/stade-reims/startseite/verein/1421/saison_id/2015', 'https://www.transfermarkt.com/gfc-ajaccio/startseite/verein/3558/saison_id/2015']",['Zlatan Ibrahimović'],['https://www.transfermarkt.com/zlatan-ibrahimovi%C4%87/profil/spieler/3455'],38,53.8,2.53,2023-05-26 18:36:05.336199
France,https://www.transfermarkt.com/wettbewerbe/national/wettbewerbe/50/saison_id/2015/plus/1,2015,Ligue 2,https://www.transfermarkt.com/ligue-2/startseite/wettbewerb/FR2/saison_id/2015,AS Nancy-Lorraine,"['FC Metz', 'Dijon FCO']","['https://www.transfermarkt.com/fc-metz/startseite/verein/347/saison_id/2015', 'https://www.transfermarkt.com/dijon-fco/startseite/verein/2969/saison_id/2015']","['US Créteil-Lusitanos', 'FC Évian Thonon Gaillard', 'Paris FC']","['https://www.transfermarkt.com/us-creteil-lusitanos/startseite/verein/2067/saison_id/2015', 'https://www.transfermarkt.com/thonon-evian-grand-geneve-fc/startseite/verein/14171/saison_id/2015', 'https://www.transfermarkt.com/paris-fc/startseite/verein/10004/saison_id/2015']",['Famara Diédhiou'],['https://www.transfermarkt.com/famara-diedhiou/profil/spieler/237125'],21,46.9,2.30,2023-05-26 18:36:05.336199
France,https://www.transfermarkt.com/wettbewerbe/national/wettbewerbe/50/saison_id/2015/plus/1,2015,Championnat National,https://www.transfermarkt.com/championnat-national/startseite/wettbewerb/FR3/saison_id/2015,,"['RC Strasbourg Alsace', 'Amiens SC', 'US Orléans']","['https://www.transfermarkt.com/rc-strassburg-alsace/startseite/verein/667/saison_id/2015', 'https://www.transfermarkt.com/amiens-sc/startseite/verein/1416/saison_id/2015', 'https://www.transfermarkt.com/us-orleans/startseite/verein/10868/saison_id/2015']",['Vendée Luçon Football'],['https://www.transfermarkt.com/lucon-football-club/startseite/verein/30444/saison_id/2015'],"['Kévin Fortuné', 'Farid Beziouen']","['https://www.transfermarkt.com/kevin-fortune/profil/spieler/411439', 'https://www.transfermarkt.com/farid-beziouen/profil/spieler/98264']",17,30.7,2.36,2023-05-26 18:36:05.336199
France,https://www.transfermarkt.com/wettbewerbe/national/wettbewerbe/50/saison_id/2015/plus/1,2015,CFA - Grp. A,https://www.transfermarkt.com/championnat-national-2-groupe-a/startseite/wettbewerb/CN2A/saison_id/2015,,['Quevilly Rouen Métropole'],['https://www.transfermarkt.com/quevilly-rouen-metropole/startseite/verein/7124/saison_id/2015'],[],[],[],[],,24.8,2.68,2023-05-26 18:36:05.336199
France,https://www.transfermarkt.com/wettbewerbe/national/wettbewerbe/50/saison_id/2015/plus/1,2015,CFA - Grp. B,https://www.transfermarkt.com/championnat-national-2-groupe-b/startseite/wettbewerb/CN2B/saison_id/2015,,['AS Lyon-Duchère'],['https://www.transfermarkt.com/sporting-club-de-lyon/startseite/verein/17768/saison_id/2015'],[],[],[],[],,,,2023-05-26 18:36:05.336199
France,https://www.transfermarkt.com/wettbewerbe/national/wettbewerbe/50/saison_id/2015/plus/1,2015,CFA - Grp. C,https://www.transfermarkt.com/championnat-national-2-groupe-c/startseite/wettbewerb/CN2C/saison_id/2015,,['Pau FC'],['https://www.transfermarkt.com/pau-fc/startseite/verein/3166/saison_id/2015'],[],[],[],[],,,,2023-05-26 18:36:05.336199
France,https://www.transfermarkt.com/wettbewerbe/national/wettbewerbe/50/saison_id/2015/plus/1,2015,CFA - Grp. D,https://www.transfermarkt.com/championnat-national-2-groupe-d/startseite/wettbewerb/CN2D/saison_id/2015,,['US Concarneau'],['https://www.transfermarkt.com/us-concarneau/startseite/verein/21688/saison_id/2015'],[],[],[],[],,,,2023-05-26 18:36:05.336199
France,https://www.transfermarkt.com/wettbewerbe/national/wettbewerbe/50/saison_id/2015/plus/1,2015,Coupe de France,https://www.transfermarkt.com/coupe-de-france/startseite/pokalwettbewerb/FRC/saison_id/2015,Paris Saint-Germain,[],[],[],[],[],[],,39.5,3.77,2023-05-26 18:36:05.336199
France,https://www.transfermarkt.com/wettbewerbe/national/wettbewerbe/50/saison_id/2015/plus/1,2015,Trophée des Champions,https://www.transfermarkt.com/trophee-des-champions/startseite/pokalwettbewerb/FRCH/saison_id/2015,Paris Saint-Germain,[],[],[],[],[],[],,61.6,2.00,2023-05-26 18:36:05.336199
France,https://www.transfermarkt.com/wettbewerbe/national/wettbewerbe/50/saison_id/2015/plus/1,2015,Coupe de la Ligue,https://www.transfermarkt.com/coupe-de-la-ligue/startseite/pokalwettbewerb/FRL/saison_id/2015,Paris Saint-Germain,[],[],[],[],[],[],,48.0,4.29,2023-05-26 18:36:05.336199
