line_id,order_id,book_id,price
1,1,6538,13.18
2,2,5936,13.79
3,4096,9426,3.35
4,4097,3284,19.47
5,6143,10937,19.88
6,6144,231,2.44
7,8190,6085,7.38
8,8191,2271,18.27
9,9213,10635,0.77
10,9214,3605,10.1
11,10236,6154,5.01
12,10237,6590,4.21
13,10747,3059,14.87
14,10748,9943,4.74
15,11258,5607,16.18
16,11259,5927,4.73
17,11385,6513,4.33
18,11386,3642,19.73
19,3,10586,15.94
20,4098,1449,5.21
21,6145,10137,15.49
22,8192,1541,7.39
23,9215,4807,1.03
24,10238,10697,13.05
25,10749,4209,18.68
26,11260,5947,17.42
27,11387,8357,2.86
28,4,5124,17.48
29,4099,11004,6.45
30,6146,7194,5.29
31,8193,4268,2.48
32,9216,5222,19.49
33,10239,5160,7.91
34,10750,6533,14.98
35,11261,10931,13.32
36,11388,4251,18.25
37,5,4640,6.94
38,6,5390,7.62
39,4100,5014,2.21
40,4101,2247,13.55
41,6147,8691,17.47
42,6148,271,10.02
43,8194,4798,13.07
44,8195,10844,18.24
45,9217,7091,8.99
46,9218,3747,6.69
47,10240,7377,6.22
48,10241,6298,17.94
49,10751,8763,4.93
50,10752,9676,12.17
51,11262,4833,6.92
52,11263,4747,1.9
53,11389,2177,13.86
54,11390,9765,6.19
55,7,10168,12.83
56,4102,5173,8.01
57,6149,6764,16.76
58,8196,4082,6.4
59,9219,5545,10.65
60,10242,1865,4.81
61,10753,7775,15.46
62,11264,8541,10.39
63,11391,3290,18.38
64,8,7886,15.72
65,4103,8955,13.31
66,6150,10160,11.38
67,8197,1188,16.52
68,9220,9010,11.42
69,10243,4725,8.22
70,10754,8685,13.4
71,11265,95,0.65
72,11392,1524,11.75
73,9,5848,17.32
74,4104,8374,3.31
75,6151,6342,7.07
76,8198,629,4.45
77,9221,10487,0.91
78,10244,4443,17.21
79,10755,1167,18.85
80,11266,4433,3.28
81,11393,6957,12.68
82,10,3276,11.4
83,4105,10749,2.41
84,6152,7850,3.3
85,8199,7896,1.05
86,9222,1498,10.3
87,10245,1900,6.17
88,10756,351,4.62
89,11267,686,12.29
90,11394,9870,11.84
91,11,3337,14.46
92,4106,7955,8.12
93,6153,9843,4.11
94,8200,4156,5.02
95,9223,1496,18.38
96,10246,2139,4.08
97,10757,4929,12.06
98,11268,7646,12.52
99,11395,761,9.28
100,12,1278,3.64
101,4107,6294,5.65
102,6154,7952,14.53
103,8201,5426,5.18
104,9224,9263,7.71
105,10247,4776,19.8
106,10758,7380,6.92
107,11269,8229,13.2
108,11396,912,8.59
109,13,10028,4.36
110,4108,4306,5.61
111,6155,2684,7.29
112,8202,1106,8.06
113,9225,7976,7.51
114,10248,8076,10.07
115,10759,3772,3.7
116,11270,10114,19.79
117,11397,2447,2.63
118,14,11097,11.85
119,15,10797,1.49
120,4109,5132,1.65
121,4110,323,17.95
122,6156,4449,6.14
123,6157,3735,15.14
124,8203,8662,12.42
125,8204,8571,19.77
126,9226,7014,3.74
127,9227,489,13.17
128,10249,1797,16.62
129,10250,7475,17.31
130,10760,3462,19.19
131,10761,9617,8.86
132,11271,6924,15.64
133,11272,493,17.49
134,11398,2676,11.57
135,11399,1908,2.43
136,16,1029,1.96
137,17,2368,15.4
138,4111,2355,14.96
139,4112,1174,5.66
140,6158,1106,12.95
141,6159,10452,15.09
142,8205,10609,10.09
143,8206,7361,15.89
144,9228,10997,11.16
145,9229,9170,8.95
146,10251,8502,9.58
147,10252,1129,1.42
148,10762,560,0.77
149,10763,475,1.94
150,11273,3976,9.91
151,11274,4514,10.84
152,11400,5477,16.71
153,11401,7791,19.9
154,18,9721,7.67
155,19,3312,6.74
156,4113,8807,18.94
157,4114,4018,19.28
158,6160,8207,15.9
159,6161,8495,8.64
160,8207,9663,0.94
161,8208,7006,0.14
162,9230,1630,14.22
163,9231,1293,8.95
164,10253,9900,2.12
165,10254,9573,19.68
166,10764,3776,14.89
167,10765,7831,5.72
168,11275,3549,14.73
169,11276,8073,8.37
170,11402,10189,6.46
171,11403,9666,7.48
172,20,2945,4.01
173,21,2328,8.88
174,22,6598,12.65
175,23,4269,0.41
176,4115,10592,13.96
177,4116,7060,1.57
178,4117,5435,4.14
179,4118,6335,4.52
180,6162,4687,8.57
181,6163,9777,2.16
182,6164,10064,3.96
183,6165,3089,15.87
